Name,ring,quadrant,isNew,description
ADR (Architecture Decision Records),Adote,Técnicas,FALSE,"<p>O <a href=""https://adr.github.io/"">ADR (Architectural Decision Records)</a> é uma técnica de documentação de decisões relevantes de arquitetura, proposta por Michael Nygard em 2011 e em ascenção nos últimos anos. Cada registro é um documento imutável que registra uma única decisão de arquitetura, incluindo o contexto em que a decisão foi tomada e suas consequências. Essa abordagem tem como objetivo capturar o raciocínio por trás das decisões arquiteturais, facilitando a comunicação, a rastreabilidade e o entendimento das escolhas feitas ao longo do projeto. Ao utilizar o ADR, as equipes de desenvolvimento podem documentar e compartilhar de forma sistemática as decisões arquiteturais, o que contribui para a transparência, a colaboração e a continuidade do projeto, permitindo uma evolução coerente e informada da arquitetura do sistema ao longo do tempo.
<p>A técnica faz parte do  <a href=""https://docs.google.com/presentation/d/1YQB3M1Jr0xRTXMpL7ckwnQDRlz9F5c8aiWJjZ7hmTsE/edit?usp=sharing"">Framework de Documentação de Arquitetura do CPQD</a>."
Quati Design System,Adote,Ferramentas,TRUE,"<p>Quati é o Design System do CPQD, ele disponibiliza componentes de interface, ícones, tokens de design e estruturas base para aplicações Frontend."
C4-Model,Adote,Técnicas,FALSE,"<p>O <a href=""https://c4model.com/"">C4-model</a> é uma técnica de diagramação moderna para visualização estática de arquitetura em quatro níveis: contexto, contêiner, componente e código. Essa abordagem pode ser aplicada tanto na fase de análise e design quanto na documentação de sistemas já implementados. Ao contrário do UML, o C4-model não requer uma notação específica, o que torna mais simples a compreensão e utilização. Com o uso do C4-model, as equipes podem comunicar de maneira mais eficaz a arquitetura do sistema, facilitar a colaboração entre os membros da equipe e manter a documentação atualizada e coesa. Essa abordagem promove a clareza, a simplicidade e a consistência na representação da arquitetura, contribuindo para a compreensão e a evolução contínua do sistema ao longo do tempo.
<p>A técnica faz parte do  <a href=""https://docs.google.com/presentation/d/1YQB3M1Jr0xRTXMpL7ckwnQDRlz9F5c8aiWJjZ7hmTsE/edit?usp=sharing"">Framework de Documentação de Arquitetura do CPQD</a>."
Design Doc,Adote,Técnicas,FALSE,"<p> O <strong>Design Doc</strong>, também conhecido como RFC (Request for Comment), é uma prática que consiste na documentação do design de um sistema, funcionalidade ou melhoria significativa antes de sua implementação. Essa abordagem envolve a criação de um documento conciso, geralmente elaborado em uma plataforma como o Google Docs, e submetido a uma revisão abrangente, inclusive por especialistas externos à equipe.  Ao adotar essa técnica, as equipes podem obter benefícios como o alinhamento prévio das expectativas, o compartilhamento de conhecimento e a obtenção de feedback valioso antes do início da implementação.
<p>A técnica faz parte do  <a href=""https://docs.google.com/presentation/d/1YQB3M1Jr0xRTXMpL7ckwnQDRlz9F5c8aiWJjZ7hmTsE/edit?usp=sharing"">Framework de Documentação de Arquitetura do CPQD</a>."
Entrega Contínua,Experimente,Técnicas,FALSE,"<p>A <strong>Entrega Contínua</strong> é uma prática de desenvolvimento de software que visa automatizar o processo de preparação e liberação de alterações de código para produção. Essa abordagem estende os princípios da integração contínua, garantindo que os desenvolvedores sempre disponham de um artefato de compilação pronto para implantação, que já passou por um conjunto de testes padronizados, como testes unitários, de interface de usuário, de carga, de integração e de confiabilidade.
<p>Ao adotar a prática de Entrega Contínua, as equipes podem obter benefícios como a redução do tempo de ciclo de desenvolvimento, maior agilidade na entrega de novas funcionalidades  e maior capacidade de resposta às demandas do mercado. Além disso, a automação dos testes e implantações contribui para a consistência e a padronização do processo, aumentando a eficiência e a qualidade do software entregue."
"Escaneamento de Segurança de Containers
",Adote,Técnicas,FALSE,"<p>A ampla adoção de containers, principalmente em arquiteturas baseadas em microserviços, juntamente com o uso crescente de técnicas de entrega e implantação contínuas, torna as ferramentas de varredura de segurança em containers peças importantes nas pipelines de desenvolvimento. Essas ferramentas são projetadas para verificar vulnerabilidades em containers, identificando possíveis problemas em bibliotecas e componentes. Exemplos de ferramentas de código aberto nessa categoria são o <a href=""https://github.com/aquasecurity/trivy"">Trivy</a>, <a href=""https://github.com/anchore/grype"">Grype</a> e <a href=""https://github.com/quay/clair"">Clair</a>, que realizam varreduras de segurança e contribuem para a detecção antecipada de falhas, aumentando a confiabilidade e a segurança das aplicações em containers."
Feature Flags,Experimente,Técnicas,FALSE,"<p>Os <a href=""https://martinfowler.com/articles/feature-toggles.html"">Feature Flags</a>, também conhecido como Feature Toggles, Release Toggles ou Feature Flippers, é uma técnica que oferece a capacidade de ativar ou desativar partes específicas do código sem a necessidade de recompilar ou reimplementar a aplicação. Essa abordagem traz diversos benefícios, como a possibilidade de realizar ""soft-rollouts"", ou seja, desligar uma funcionalidade que não está se comportando conforme o esperado em produção, além de viabilizar o modelo de desenvolvimento baseado em tronco, que está se tornando uma tendência e uma alternativa ao modelo de Feature Branches. Com os Feature Flags, é possível controlar o lançamento de novas funcionalidades de forma granular, reduzindo riscos e permitindo uma maior flexibilidade na gestão do ciclo de vida da aplicação."
Gestão de Segredos em Aplicações,Adote,Técnicas,FALSE,"<p>A <strong>Gestão de Segredos em Aplicações</strong> é uma prática essencial para garantir a segurança e proteção de informações sensíveis em diferentes ambientes, como desenvolvimento, testes, homologação e produção. Essa técnica, suportada por ferramentas, como um vault (cofre), permite armazenar e proteger segredos, como senhas, chaves de API e tokens de autenticação. Com a gestão de segredos, é possível manter a separação adequada dos segredos entre os diversos ambientes, garantindo que cada ambiente tenha acesso apenas aos segredos necessários para seu funcionamento. Além disso, essa prática ajuda a promover o princípio de privilégios mínimos, controlando o acesso aos segredos de forma granular. Existem diversas ferramentas que auxiliam na gestão de segredos em aplicações, como o Vault HashiCorp e o Secrets OperationS (SOPS). Além disso, provedores de serviços em nuvem também oferecem suas próprias tecnologias e ferramentas para gerenciamento de segredos."
"Infraestrutura como Código
",Adote,Técnicas,FALSE,"<p><strong>Infraestrutura como Código</strong>, também conhecida como <i>IaC - Infrastructure as Code</i>, é uma prática que envolve o uso de código para provisionar, configurar e gerenciar a infraestrutura de sistemas de forma automatizada. Em vez de realizar tarefas manuais, processos repetitivos ou configurações em consoles, a infraestrutura é definida e controlada por meio de arquivos de configuração, que são tratados como código-fonte e podem ser versionados, revisados e compartilhados da mesma maneira que o código de software. Esses arquivos de configuração descrevem a infraestrutura desejada, incluindo servidores, redes, bancos de dados, balanceadores de carga e outros componentes, permitindo que a infraestrutura seja criada, modificada e replicada de forma consistente e confiável. A adoção da infraestrutura como código traz benefícios significativos, como automação, rastreabilidade, escalabilidade e reprodutibilidade, garantindo que o mesmo ambiente possa ser reproduzido consistentemente em diferentes etapas do ciclo de vida do sistema. Algumas ferramentas que permitem o uso de IaC são o Terraform e Ansible."
"Malha de Serviços
",Estude,Técnicas,FALSE,"<p>A <strong>Malha de Serviços</strong>, também conhecida como <i>Service Mesh</i>, é uma camada de infraestrutura que atua no controle e gerenciamento da comunicação entre os microserviços de uma aplicação. Essa camada oferece recursos como descoberta de serviços, segurança, rastreamento, monitoramento e tratamento de falhas. Para implementar uma malha de serviços, é comum utilizar proxies reversos leves, chamados de sidecars, que são integrados a cada serviço em contêineres separados. Esses sidecars interceptam o tráfego de entrada e saída de cada serviço, proporcionando as funcionalidades mencionadas anteriormente. Com isso, as equipes de desenvolvimento podem se beneficiar desses recursos sem precisar implementá-los diretamente nos serviços, o que reduz o esforço e a complexidade do desenvolvimento. Existem diversas opções de malhas de serviços de código aberto disponíveis como o <a href=""https://istio.io/"">Istio</a> e o <a href=""https://linkerd.io/"">Linkerd</a>"
SCA,Experimente,Técnicas,FALSE,"<p>O <strong>Software Composition Analysis (SCA)</strong> é uma técnica de verificação de segurança amplamente utilizada e apoiada por ferramentas para análise de vulnerabilidades em dependências de software, como componentes e bibliotecas de terceiros. Essa técnica é aplicada tanto na detecção antecipada de vulnerabilidades, durante as fases iniciais do desenvolvimento, quanto na detecção tardia, mais próxima à produção ou implantação do software. Por exemplo, é comum utilizar o SCA para realizar varreduras de vulnerabilidades em contêineres e imagens. Além disso, as ferramentas SCA também podem ser usadas para análise de licenciamento de software de código aberto (OSS) e podem ser integradas a pipelines de CI/CD ou utilizadas de forma autônoma. É importante ter cuidado na triagem de falsos positivos, ou seja, identificar alarmes falsos. Recomendado o uso de ferramentas complementares de outras categorias para mitigar falsos negativos, ou seja, evitar omissões. Exemplos de ferramentas SCA amplamente utilizadas incluem o OWASP Dependency Check, FOSSA, Mend SCA e Trivy (especialmente quando aplicado a imagens Docker)."
Desenvolvimento Baseado em Tronco,Experimente,Técnicas,FALSE,"<p>O <a href=""https://trunkbaseddevelopment.com/"">Desenvolvimento Baseado em Troncos</a> é uma abordagem de gerenciamento de controle de versão em que são realizados merges frequentes de pequenas atualizações no ""tronco"" ou ramificação principal do código. Essa prática busca simplificar as etapas de merge e integração, promovendo a integração contínua, acelerando a entrega de software e melhorando o desempenho da equipe. Ao adotar o desenvolvimento baseado em troncos, as equipes podem evitar o acúmulo de grandes ramificações (branches) e problemas de sincronização, facilitando a colaboração e a entrega de valor de forma mais rápida e eficiente."
Engenharia de Caos,Estude,Técnicas,FALSE,"<p>A <a href=""https://en.wikipedia.org/wiki/Chaos_engineering"">Engenharia de Caos</a> é uma prática que se originou das técnicas desenvolvidas pela Netflix para testar o comportamento de um sistema em produção diante de falhas aleatórias. Essa abordagem reconhece que falhas são inevitáveis em ambientes de nuvem distribuída e, ao simular falhas em diferentes pontos da aplicação, é possível medir o impacto provável e planejar de forma mais eficiente como lidar com elas. À medida que as empresas implantam regularmente aplicativos distribuídos e dependem de serviços de nuvem pública e web abertos, há uma crescente necessidade de testar seus sistemas e garantir a resiliência diante de falhas. A Engenharia de Caos oferece uma abordagem estruturada para realizar esses testes e fortalecer a confiabilidade e estabilidade dos sistemas em produção."
React,Adote,Linguagens & Frameworks,FALSE,"<p>O <a href=""https://pt-br.reactjs.org/"">React</a>, também conhecido como React.js ou ReactJS, é um framework JavaScript de código aberto utilizado para o desenvolvimento de interfaces de usuário em páginas web. Com foco no frontend, o React oferece uma abordagem declarativa e componentizada, permitindo que os desenvolvedores criem interfaces interativas e responsivas de forma eficiente. Através de seu modelo de programação eficiente e reativo, o React facilita a construção de aplicativos web escaláveis, permitindo a reutilização de componentes e a atualização seletiva de elementos da interface com base em mudanças de estado. Com uma comunidade ativa e uma vasta gama de recursos e bibliotecas disponíveis, <strong>o React é a escolha do CPQD para desenvolvimento de aplicações do tipo SPA</strong>."
Ofuscação de Código,Estude,Técnicas,FALSE,"<p>A <strong>ofuscação de código</strong> é uma técnica utilizada para tornar o código-fonte de um software ilegível ou difícil de entender, com o objetivo de dificultar a engenharia reversa e a extração de informações sensíveis. Ao ofuscar o código, é possível embaralhar nomes de variáveis, alterar a estrutura do código e inserir instruções irrelevantes, mantendo a funcionalidade do software. Essa técnica é comumente aplicada em aplicações móveis, jogos e sistemas que lidam com informações confidenciais. No entanto, é importante destacar que a ofuscação de código não fornece uma segurança completa e deve ser combinada com outras práticas de segurança."
Requisitos de segurança verificáveis,Estude,Técnicas,FALSE,"Os <strong>requisitos de segurança verificáveis</strong> são uma técnica de asseguração de segurança que consiste na adoção de requisitos de segurança que podem ser verificados por meio de análises de segurança. Esses requisitos servem como uma linha de base para estabelecer os critérios de segurança. Eles comunicam os requisitos de segurança comuns e também podem ser usados como métrica para avaliar a cobertura de segurança de um sistema. Alguns exemplos de requisitos de segurança verificáveis incluem o OWASP ASVS (Application Security Verification Standard), o OWASP MASVS (Mobile Application Security Verification Standard) para aplicativos móveis, a norma ISO 15408 e o PCI-DSS (Payment Card Industry Data Security Standard) para pagamentos com cartão. Outros exemplos podem ser encontrados no padrão NIST SP 800-218. Essa abordagem ajuda as organizações a estabelecerem um conjunto claro de requisitos de segurança e a realizar análises e verificações consistentes para garantir a conformidade e a proteção adequada dos sistemas."
Serverless,Estude,Técnicas,FALSE,"<p><strong>Serverless</strong> é uma arquitetura de desenvolvimento de software Cloud-Native em que o gerenciamento de servidores é abstraído pela infraestrutura de nuvem, permitindo que os desenvolvedores se concentrem exclusivamente na codificação das regras de negócio. Nesse modelo, a nuvem é responsável por executar e escalar a aplicação conforme a demanda de tráfego, proporcionando escalabilidade automática. Exemplos populares de soluções serverless são o AWS Lambda, o Azure Functions e o OCI Functions."
TDD,Estude,Técnicas,FALSE,"<p>O <strong>TDD (Test-Driven Development)</strong> é uma abordagem de desenvolvimento de software que enfatiza a escrita de testes automatizados antes mesmo da implementação do código. Com o TDD, os desenvolvedores criam testes que descrevem o comportamento esperado do software e, em seguida, implementam o código para fazer os testes passarem. Essa técnica promove a melhoria da qualidade do software, pois os testes são executados repetidamente, garantindo a correção e prevenindo regressões. Além disso, o TDD ajuda a criar um design modular e coeso, ao incentivar a escrita de código mais simples e testável. Ao adotar o TDD, os desenvolvedores podem obter um código mais robusto, confiável e de fácil manutenção."
Monólito Distribuído,Evite,Técnicas,FALSE,"<p>Um sistema de microsserviços mal projetado pode levar a uma alta dependência entre os microsserviços, resultando na impossibilidade de evoluí-los e implantá-los de forma independente. Isso compromete os princípios da arquitetura de microsserviços, transformando o sistema em uma entidade monolítica em termos de gerenciamento. Consequentemente, os benefícios esperados da arquitetura de microsserviços são perdidos, e as desvantagens de ambas as abordagens são combinadas. Para obter uma arquitetura eficaz de microsserviços, é crucial projetar cuidadosamente as interações entre os serviços, garantindo baixo acoplamento e alta coesão. Isso permitirá a evolução e implantação independentes de cada microsserviço, aproveitando ao máximo as vantagens dessa abordagem."
Prompt Engineering,Adote,Técnicas,TRUE,"<p><strong>Prompt Engineering</strong> é a técnica de criar e otimizar prompts para modelos de linguagem, como o GPT-4, visando obter respostas mais precisas e relevantes. Essa prática envolve a elaboração cuidadosa de comandos e perguntas que orientam o modelo a gerar resultados que atendam melhor às necessidades específicas dos usuários ou aplicações. Ao experimentar diferentes abordagens, é possível melhorar significativamente a qualidade das interações e adequar o comportamento do modelo às necessidades da empresa. Existe um <a href=""https://docs.google.com/spreadsheets/d/1-0TVfD1HWN2EZnZs-O4JrcOxu6iwteZQyJ7Y5WET8uE/edit?usp=sharing"">catálogo corporativo</a> com sugestões de prompts para diferentes áreas."
RAG - Retrieval Augmented Generation,Experimente,Técnicas,TRUE,"<p><strong>RAG (Retrieval Augmented Generation)</strong> combina a geração de texto com a recuperação de informações relevantes. Utilizando modelos de linguagem avançados, o RAG primeiro busca dados pertinentes em uma base de conhecimento ou conjunto de dados externos e, em seguida, gera respostas informativas e precisas com base no contexto encontrado. Essa técnica é ideal para aplicações que exigem informações atualizadas e detalhadas, como sistemas de suporte ao cliente e assistentes virtuais, pois otimiza a capacidade do modelo de linguagem de fornecer respostas contextualizadas e confiáveis."
Agentes Autonômos de IA,Experimente,Técnicas,TRUE,"<p><strong>Agentes Autônomos de IA</strong> são sistemas que operam independentemente para realizar tarefas complexas. Esses agentes podem tomar decisões, aprender com interações e adaptar seu comportamento para melhorar a eficiência e eficácia em uma ampla gama de aplicações, desde assistentes virtuais até operações industriais."
Pirâmide de teste,Adote,Técnicas,TRUE,"<p>A <strong>Pirâmide de Teste</strong> é uma estratégia que ajuda a dimensionar corretamente o esforço de automação de testes em diferentes camadas, como testes de unidade, integração e aceitação. O objetivo é concentrar a maioria dos esforços em testes de unidade, que são mais rápidos e menos custosos, e diminuir progressivamente o número de testes mais complexos e caros, como os de integração e aceitação. Essa abordagem otimiza a detecção precoce de erros e falhas, garantindo uma cobertura eficaz e balanceada nos diferentes níveis de testes de software."
Testes mutantes,Estude,Técnicas,TRUE,"<p><strong>Testes Mutantes</strong> são uma técnica de teste que modifica deliberadamente o código-fonte durante o processo de compilação e executa a mesma bateria de testes de unidade existentes. O objetivo é verificar se os testes são robustos o suficiente para detectar essas mudanças. Espera-se que pelo menos um dos testes falhe, indicando que o sistema de testes está identificando corretamente os erros. Essa técnica é útil para avaliar a eficácia dos testes automatizados e garantir que as alterações no código sejam adequadamente cobertas."
Arquitetura hexagonal,Adote,Técnicas,TRUE,"<p>A <strong>Arquitetura Hexagonal</strong>, também conhecida como Arquitetura de Portas e Adaptadores, promove a criação de uma estrutura genérica em que os pontos de contato com sistemas externos são tratados como detalhes que podem ser facilmente trocados. Ela separa claramente a lógica de negócios dos detalhes técnicos, permitindo que a troca de elementos externos, como bancos de dados ou interfaces de usuário, seja feita sem impactar a regra de negócio central. Essa arquitetura é indicada para sistemas que exigem flexibilidade e facilidade na manutenção e evolução dos componentes externos ao longo do tempo."
Estratégias de deploy/delivery,Estude,Técnicas,TRUE,"<p>As <strong>Estratégias de Deploy/Delivery</strong> são práticas usadas para gerenciar a liberação contínua e segura de novas versões de software. Entre as principais estratégias estão:</p> <ul> <li><strong>Canary Deployment</strong>: introduz gradualmente a nova versão em uma pequena parte dos usuários para monitorar o comportamento e mitigar riscos.</li> <li><strong>Blue-Green Deployment</strong>: mantém duas versões em produção (azul e verde), e o tráfego é redirecionado para a nova versão (verde) após sua validação.</li> <li><strong>Rolling Deployment</strong>: atualiza gradualmente instâncias do software em diferentes ambientes, minimizando o tempo de inatividade.</li> <li><strong>Feature Toggles / Feature Flags</strong>: permite o lançamento de novas funcionalidades em produção, mas desativadas, ativando-as conforme necessário.</li> </ul>"
Telemetria de execução,Adote,Técnicas,TRUE,"<p><strong>Telemetria de Execução</strong> refere-se à coleta e análise de dados sobre o uso real de um software em produção, permitindo que as equipes de desenvolvimento entendam quais partes do sistema estão sendo efetivamente utilizadas. Utilizando tecnologias como o OpenTelemetry (OTEL), é possível monitorar e coletar métricas de desempenho e uso em tempo real, o que auxilia na identificação de gargalos, problemas de desempenho e áreas de melhoria no software. A telemetria é essencial para a otimização contínua e a manutenção da qualidade do software."
Angular,Evite,Linguagens & Frameworks,FALSE,"<p>O <a href=""https://angular.io/"">Angular</a> é um framework JavaScript de código aberto mantido pela Google, projetado para o desenvolvimento de aplicações web do tipo single-page. Escrito em Typescript, o Angular oferece recursos avançados, incluindo gerenciamento de estado, roteamento e manipulação de eventos. <strong>Embora seja um framework amplamente utilizado e popular, no CPQD, optamos por utilizar o React como nossa escolha preferencial para o desenvolvimento de aplicações web.</strong>"
Data-Driven Development,Experimente,Técnicas,TRUE,"<p><strong>Data-Driven Development</strong> é uma prática de desenvolvimento de software que se baseia na coleta, análise e interpretação de dados para tomar decisões informadas ao longo do processo de desenvolvimento. Em vez de confiar exclusivamente na intuição ou em experiências passadas, as equipes usam dados reais para guiar as escolhas de design, implementação e otimização. Isso permite um ciclo de desenvolvimento mais eficiente e orientado a resultados, focando nas necessidades e comportamentos reais dos usuários."
BPMN,Experimente,Técnicas,TRUE,"<p><strong>BPMN (Business Process Model and Notation)</strong> é uma notação gráfica padrão para modelagem de processos de negócios, amplamente utilizada para representar de forma clara e compreensível os fluxos de trabalho dentro de uma organização. Com o BPMN, as equipes de desenvolvimento e as partes interessadas conseguem visualizar, documentar e otimizar processos de negócios complexos, facilitando a automação e a melhoria contínua das operações. Ele é um recurso valioso para projetos que exigem uma comunicação clara entre equipes técnicas e não técnicas."
Ansible,Adote,Ferramentas,FALSE,"<p>O <a href=""https://www.ansible.com/overview/it-automation"">Ansible</a> é uma ferramenta de código aberto, desenvolvida e apoiada pela Red Hat, que simplifica o gerenciamento, automação, configuração e implantação de aplicações em ambientes de TI. Com o Ansible, é possível realizar todas essas tarefas de forma centralizada, proporcionando eficiência e agilidade no processo de provisionamento e manutenção de sistemas. Além disso, o Ansible oferece uma ampla gama de recursos e integrações, permitindo a automação de diversas plataformas e infraestruturas, desde servidores locais até ambientes de nuvem e contêineres.</p>"
Appium,Adote,Ferramentas,FALSE,"<p>O <a href=""https://appium.io/"">Appium</a> é uma poderosa ferramenta de automação de testes de código aberto, projetada para facilitar o desenvolvimento e a execução de testes em aplicativos móveis e web. Com o Appium, os desenvolvedores podem criar scripts de teste em várias linguagens de programação, como Java, Python e JavaScript, e executá-los em dispositivos iOS, Android e web. Essa abordagem unificada permite que os testes sejam reutilizáveis em diferentes plataformas, economizando tempo e esforço no processo de teste."
